Qualifying Name,Geo_QNAME,"Fresno, California","Los Angeles-Long Beach-Anaheim, California","San Diego-Chula Vista-Carlsbad, California","New Haven-Milford, Connecticut","Tampa-St Petersburg-Clearwater, Florida","Chicago-Naperville-Elgin, Illinois","Boston-Cambridge-Newton, Massachusetts","New York-Newark-Jersey City, New York","Pittsburgh, Pennsylvania","El Paso, Texas","Ventura, California","Hackensack City, New Jersey"
Name of Area,Geo_NAME,Fresno,Los Angeles-Long Beach-Anaheim,San Diego-Chula Vista-Carlsbad,New Haven-Milford,Tampa-St Petersburg-Clearwater,Chicago-Naperville-Elgin,Boston-Cambridge-Newton,New York-Newark-Jersey City,Pittsburgh,El Paso,Ventura,Hackensack city
Total Population,ORG_TOT_POP8,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"Population, Citizenship - Native",ORG_CITNATIV,0.030810987,0.013364953,0.018624622,0.005115527,0.025319514,0.005880878,0.015664993,0.006504848,-0.005179851,0.020693074,0.006901298,0.002592254
"Population, Citizenship - Foreign Born - Naturalized",ORG_CITFORNAT,0.061614559,0.034549793,0.047644184,0.042543311,0.052644649,0.039441043,0.053715585,0.039725946,0.047096221,0.021715954,0.028164499,0.051219252
"Population, Citizenship - Foreign Born - Not a Citizen",ORG_CITFORNOT,-0.008366547,-0.030098473,-0.009756711,0.000909576,0.027971466,-0.018268071,0.03609031,-0.00442636,0.046164556,-0.012059228,-0.022850605,-0.014295439
"% Population, Citizenship - Native",PCT_ORG_CITNATIV,0.002151626,0.002538071,-0.000520901,-0.002170684,-0.002071346,-0.001096892,-0.005396786,-0.00413282,-0.002084202,0.004111406,0.000900785,-0.006776215
"% Population, Citizenship - Foreign Born - Naturalized",PCT_ORG_CITFORNAT,0.031322506,0.023809524,0.027955272,0.035114504,0.024637681,0.032734952,0.030916844,0.028218695,0.048543689,0.005249344,0.021719457,0.041646947
"% Population, Citizenship - Foreign Born - Not a Citizen",PCT_ORG_CITFORNOT,-0.035569927,-0.040106952,-0.028063611,-0.006756757,0.001612903,-0.024764151,0.014285714,-0.014820593,0.050505051,-0.028094153,-0.029333333,-0.023197176
Total Population,ORG_TOT_POP9,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"Population, Total Group Quarters",ORG_GQTOTAL,0.004738525,0.002981103,0.008066537,0.002421138,0.011876529,0.002682541,0.012332265,0.004833902,-0.00067881,0.010718051,0.006931941,-0.003236246
"Population, Institutional Group Quarters",ORG_GQINST,0.002490247,0.000616019,0.009241493,0.00406746,0.011736571,0.000359703,0.015188901,0.000802662,-0.001669644,0.013121317,0.006916996,-0.002139037
"Population, Non-Institutional Group Quarters",ORG_GQNINST,0.009690986,0.004501862,0.007701479,0.001520169,0.01202078,0.004737158,0.011145105,0.007695004,2.76863E-05,0.008043559,0.00694051,-0.006644518
"% Population, Total Group Quarters",PCT_ORG_GQTOTAL,-0.022857143,-0.006134969,-0.00931677,-0.003003003,-0.017964072,-0.00591716,-0.008695652,-0.004926108,0,-0.004950495,0,-0.010791367
"% Population, Institutional Group Quarters",PCT_ORG_GQINST,-0.025,-0.015625,0,0,-0.023529412,0,0,-0.011904762,0,0,0,-0.00952381
"% Population, Non-Institutional Group Quarters",PCT_ORG_GQNINST,-0.018181818,0,-0.012195122,-0.004651163,-0.012195122,0,-0.012295082,-0.008403361,0,-0.010416667,0,-0.014705882
Total Population,ORG_TOT_POP10,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"Employment, Car, Truck, Van to Work (Empl 16+)",ORG_TRANCAR,0.033848927,0.016360614,0.028644251,-0.005561405,0.028390022,0.006830629,0.025414758,0.009324191,0.000366372,0.032499786,0.004388238,0.006894774
"Employment, Car, Truck, Van to Work Alone (Empl 16+)",ORG_TRANCAR1,0.034879111,0.020425669,0.033276888,-0.005984523,0.030035827,0.008535947,0.025625313,0.009632857,0.002229644,0.033975356,0.008136991,0.007713885
"Employment, Car, Truck, Van to Work Carpool (Empl 16+)",ORG_TRANCARP,0.027252303,-0.017063003,-0.016123414,-0.001625406,0.012988698,-0.008331646,0.023546633,0.00703798,-0.01661672,0.021570582,-0.021341392,-0.002382844
"Employment, Public Transportation to Work (Empl 16+)",ORG_TRANPUBLIC,0.024790162,-0.022019991,0.008858683,0.057015441,0.033906374,0.01784246,0.049601935,0.029629145,0.017034963,0.037940379,0.040288016,0.031011045
"Employment, Bus or Trolley Bus to Work (Empl 16+)",ORG_TRANBUS,0.023251112,-0.032158192,0.009559067,0.062386393,0.034444992,0.001724733,0.052280972,0.008121736,0.011609959,0.038473236,0.033309709,0.030025803
"Employment, Streetcar or Trolley Car to Work (Empl 16+)",ORG_TRANTROL,0.088235294,0.006921676,-0.004185852,0.066037736,0.022988506,-0.00637866,-0.003543933,0.029890033,0.06852379,#DIV/0!,0.012820513,#DIV/0!
"Employment, Subway or Elevated to Work (Empl 16+)",ORG_TRANSUBL,0,0.034369092,0.019704433,0.056399132,0.034267913,0.035920566,0.047099017,0.037936692,0.046428571,0,0.012903226,0.0875
"Employment, Railroad to Work (Empl 16+)",ORG_TRANRR,0.12244898,0.056854599,0.005001471,0.04040404,-0.034482759,0.01964058,0.058995794,0.029284489,0.030456853,-0.033333333,0.0666162,0.030136986
"Employment, Ferry to Work (Empl 16+)",ORG_TRANFERRY,0,0.020979021,0.060714286,-0.03125,-0.010989011,-0.009677419,0.048366568,0.037239351,0.025380711,#DIV/0!,0.065217391,#DIV/0!
"Employment, Taxi to Work (Empl 16+)",ORG_TRANTAXI,0,0.025177305,0.086510264,0.073529412,0.047357584,0.018906076,0.063628547,0.018970289,0.049450549,0.089285714,0.048128342,0.052631579
"Employment, Motorcycle to Work (Empl 16+)",ORG_TRANMCYCL,0.017813765,0.033502094,0.096064815,0.064748201,0.04799801,0.038426139,0.051689861,0.052531536,0.008510638,0.061320755,0.008791209,#DIV/0!
"Employment, Bicycle to Work (Empl 16+)",ORG_TRANBCYCL,0.080608611,0.058885666,0.040441176,0.042343884,0.050359712,0.063777818,0.065650925,0.068572066,0.051750381,0.068222621,-0.000415455,0.038834951
"Employment, Walked to Work (Empl 16+)",ORG_TRANWALK,-0.006174655,0.004248292,0.025833429,0.014592454,0.04908859,0.031567103,0.033334052,0.017303306,-0.001112072,0.014653955,0.060887513,0.037786056
"Employment, Other Transportation to Work (Empl 16+)",ORG_TRANOTHER,-0.023407872,0.037137188,0.0417,0.005914972,0.028161727,0.051404193,0.063365369,0.03598005,0.038624642,-0.00569314,-0.016810168,0.017045455
"Employment, Work at Home (Empl 16+)",ORG_TRAVHOME,0.05596556,0.035609141,0.059060219,0.040376423,0.05555212,0.037847792,0.053799906,0.051070692,0.046609016,0.059398202,0.043448135,0.052770449
"% Employment, Car, Truck, Van to Work (Empl 16+)",PCT_ORG_TRANCAR,0.004863222,0.005549683,0.009365245,-0.012710765,0.000803859,0,0.004134367,-0.001568013,0.003450826,0.015873016,-0.001514387,-0.00257732
"% Employment, Car, Truck, Van to Work Alone (Empl 16+)",PCT_ORG_TRANCAR1,0.006326889,0.009783575,0.013777268,-0.013214594,0.002669831,0.001560062,0.004312823,-0.00133452,0.005196937,0.017383059,0.002313476,-0.001869741
"% Employment, Car, Truck, Van to Work Carpool (Empl 16+)",PCT_ORG_TRANCARP,0,-0.026829268,-0.033333333,-0.00802139,-0.013888889,-0.013888889,0.00255102,-0.00330033,-0.012468828,0.004683841,-0.027777778,-0.010600707
"% Employment, Public Transportation to Work (Empl 16+)",PCT_ORG_TRANPUBLIC,0,-0.03125,-0.015625,0.049180328,0,0.011131725,0.028400598,0.018530774,0.020761246,0.012658228,0.028985507,0.021718602
"% Employment, Bus or Trolley Bus to Work (Empl 16+)",PCT_ORG_TRANBUS,0,-0.041450777,-0.009259259,0.055555556,0,-0.009569378,0.031674208,-0.00273224,0.015564202,0.012820513,0.02,0.020855057
"% Employment, Streetcar or Trolley Car to Work (Empl 16+)",PCT_ORG_TRANTROL,0,0,0,0,0,0,-0.058823529,0,0.095238095,#DIV/0!,0,#DIV/0!
"% Employment, Subway or Elevated to Work (Empl 16+)",PCT_ORG_TRANSUBL,#DIV/0!,0,0,0.2,0,0.028409091,0.025723473,0.027513228,0,#DIV/0!,0,0.055555556
"% Employment, Railroad to Work (Empl 16+)",PCT_ORG_TRANRR,#DIV/0!,0,0,0.035087719,#DIV/0!,0.013333333,0.043478261,0.016574586,0,#DIV/0!,0.0625,0.024390244
"% Employment, Ferry to Work (Empl 16+)",PCT_ORG_TRANFERRY,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,0,#DIV/0!
"% Employment, Taxi to Work (Empl 16+)",PCT_ORG_TRANTAXI,#DIV/0!,0,0,0.5,0,0.1,0,0.035714286,0,0,0,0
"% Employment, Motorcycle to Work (Empl 16+)",PCT_ORG_TRANMCYCL,0,0,0.076923077,0,0,0,0,0,0,0,0,#DIV/0!
"% Employment, Bicycle to Work (Empl 16+)",PCT_ORG_TRANBCYCL,0.032258065,0.044444444,0,0.037037037,0.029411765,0.057142857,0.058823529,0.071428571,0.071428571,0,0,0.043478261
"% Employment, Walked to Work (Empl 16+)",PCT_ORG_TRANWALK,-0.029411765,-0.00877193,0.009615385,0.011904762,0.013157895,0.026143791,0.014035088,0.006896552,0.005747126,0,0.061403509,0.028368794
"% Employment, Other Transportation to Work (Empl 16+)",PCT_ORG_TRANOTHER,-0.052631579,0.023255814,0.033333333,0,0,0.05,0.026315789,0.02173913,0.026315789,-0.024096386,-0.034482759,0.012658228
"% Employment, Work at Home (Empl 16+)",PCT_ORG_TRAVHOME,0.030864198,0.024691358,0.038732394,0.032608696,0.027777778,0.027522936,0.031007752,0.037383178,0.048543689,0.041322314,0.034482759,0.047058824
"Employment, Travel Time 30-59 Min (Empl 16+)",ORG_TRAV30_59,0.041144537,0.031676234,0.050882899,0.010968245,0.043825895,0.016011548,0.043799623,0.027094916,0.016761236,0.023316302,0.008950498,0.01066834
"Employment, Travel Time 60-89 Min (Empl 16+)",ORG_TRAV60_89,0.046735007,0.041372574,0.047323732,0.040204598,0.051532033,0.028314753,0.059901213,0.03326578,0.049043642,0.081717452,-0.00076367,0.049328981
"Employment, Travel Time 90+ Min (Empl 16+)",ORG_TRAV90P,0.07865424,0.043908276,0.044929659,0.043112798,0.062838255,0.017589997,0.059908732,0.042376661,0.031579795,0.059518872,0.027442755,0.047748977
"Householder, Median Age",ORG_MEDAGHHER,0.008,0.00967118,0.007952286,0.011070111,0.007352941,0.00965251,0.009505703,0.009451796,0.007220217,0.005976096,0.012681159,0.011764706
Total Number of Households,ORG_HOUSEHOLDS4,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
"Householder, Aged Under 25 Years",ORG_HHL24YR,-0.021604938,-0.040596843,-0.039436678,0.005100621,0.003519791,-0.013087749,-0.000314238,0.002771469,-0.005243906,0.019884445,-0.016173752,0.016853933
"Householder, Aged 25 to 34 Years",ORG_HH25_34YR,0.017653303,0.000726654,0.017330229,0.000356125,0.025021483,-0.002314022,0.026164888,0.000724629,0.027074844,0.0302945,-0.019776745,-0.018755582
"Householder, Aged 35 to 44 Years",ORG_HH35_44YR,0.023495673,-0.022661864,0.009100697,-0.02556934,0.006809779,-0.01156762,-0.006671889,-0.012786544,-0.020468006,0.006558982,-0.041650092,-0.015428571
"Householder, Aged 45 to 54 Years",ORG_HH45_54YR,-0.000781277,-0.002432411,-0.006329655,-0.018929077,0.007949634,-0.012841608,0.000777888,-0.005240739,-0.038423032,0.004661391,-0.029143547,-0.014277389
"Householder, Aged 55 to 64 Years",ORG_HH55_64YR,0.05120894,0.04390981,0.042001388,0.038146953,0.040490802,0.041659453,0.05287362,0.037190312,0.027447617,0.053993465,0.045006861,0.06208373
"Householder, Aged 65 to 74 Years",ORG_HH65_74YR,0.052608445,0.047125077,0.061093248,0.062904198,0.055860134,0.056247683,0.070606305,0.05123574,0.043726298,0.053006015,0.059297094,0.03442029
"Householder, Aged 75 to 84 Years",ORG_HH75_84YR,0.020077944,0.007469635,0.01205471,0.005050312,0.016252398,0.020155216,0.004623375,0.007305073,-0.033507717,0.030374893,0.003583882,-0.024478694
"Householder, Aged 85 Years and Over",ORG_HH85PYR,0.051602815,0.066654596,0.026109528,-0.005474316,0.032148627,0.034109655,0.048842976,0.049665662,0.034683053,0.062325951,0.057703357,0.034671533
"% Householder, Aged Under 25 Years",PCT_ORG_HHL24YR,-0.047085202,-0.051369863,-0.056650246,-0.00621118,-0.02247191,-0.025477707,-0.024024024,-0.011494253,-0.012820513,-0.008298755,-0.021367521,0.007067138
"% Householder, Aged 25 to 34 Years",PCT_ORG_HH25_34YR,-0.007562536,-0.011470985,-0.001708428,-0.009701493,-0.000748503,-0.01521877,0,-0.013427562,0.020964361,0.001796407,-0.026809651,-0.027559055
"% Householder, Aged 35 to 44 Years",PCT_ORG_HH35_44YR,-0.001572327,-0.03434903,-0.009782609,-0.035807292,-0.018181818,-0.024184477,-0.031775701,-0.026300409,-0.026277372,-0.021656741,-0.047958522,-0.024284943
"% Householder, Aged 45 to 54 Years",PCT_ORG_HH45_54YR,-0.026030369,-0.014091123,-0.024973433,-0.029081633,-0.017039404,-0.025458248,-0.024826216,-0.019117647,-0.044392523,-0.023388773,-0.035870092,-0.023115025
"% Householder, Aged 55 to 64 Years",PCT_ORG_HH55_64YR,0.02523172,0.031403337,0.022454308,0.027522936,0.014698429,0.028237585,0.026128266,0.022893327,0.02140255,0.025223332,0.037568594,0.052560647
"% Householder, Aged 65 to 74 Years",PCT_ORG_HH65_74YR,0.026609442,0.034257749,0.041288192,0.051851852,0.0296343,0.043209877,0.043446244,0.036363636,0.037328094,0.023648649,0.051851852,0.024807528
"% Householder, Aged 75 to 84 Years",PCT_ORG_HH75_84YR,-0.006163328,-0.004615385,-0.00608828,-0.005134788,-0.008781559,0.007173601,-0.020864382,-0.006756757,-0.039192399,0.0013947,-0.004021448,-0.032534247
"% Householder, Aged 85 Years and Over",PCT_ORG_HH85PYR,0.027522936,0.055702918,0.006006006,-0.01758794,0.007177033,0.018691589,0.023560209,0.037037037,0.028089888,0.032967033,0.05,0.024137931
"Households, Median Size",ORG_MEDHHSIZE,0,0,0,0,0,0,0,0,0,0,0,0
Total Number of Households,ORG_HOUSEHOLDS5,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
"Households, 1 Person",ORG_HH1,0.022009384,0.005669113,0.003058888,0.034895359,0.024285539,0.017810745,0.016746095,0.011266702,0.012315647,0.052665096,0.019577755,-0.010078878
"Households, 2 Person",ORG_HH2,0.024795964,0.018969736,0.021901601,0.01305379,0.023627946,0.023745309,0.03235067,0.017162601,0.006019417,0.042879533,0.002851723,0.021208908
"Households, 3 Person",ORG_HH3,0.037887295,0.023777749,0.029751969,-0.009023177,0.021720655,0.007210082,0.031303863,0.014410479,0.003380805,0.014344133,0.011923386,0.011816839
"Households, 4 Person",ORG_HH4,0.012290914,0.011188248,0.016913806,-0.021240815,0.017874862,0.000375227,0.020184174,0.008786036,-0.012432245,0.006529036,0.001471954,0.017158177
"Households, 5 Person",ORG_HH5,0.041124904,-0.001422655,0.028077138,-0.030614729,0.040553326,-0.010654892,0.011900294,0.005672157,-0.000869095,-0.020652843,-0.014087118,-0.005988024
"Households, 6 Person",ORG_HH6,0.031596518,0.007959177,0.021847769,0.011353012,0.070921753,0.001166507,0.056440435,0.02130271,0.020329388,-0.006094828,0.014697975,0.023419204
"Households, 7 or More Person",ORG_HH7P,-0.00178617,-0.013440114,0.029621488,-0.013878563,0.07858204,0.006548242,0.059360547,0.048083974,0.045053734,0.08008728,0.009209572,0.094717668
"% Households, 1 Person",PCT_ORG_HH1,-0.003526448,-0.006507592,-0.015597148,0.024100061,-0.001336898,0.004646176,-0.009144111,-0.002910149,0.006313891,0.023778071,0.012138189,-0.019034483
"% Households, 2 Person",PCT_ORG_HH2,-0.000748783,0.006785714,0.00283197,0.002485244,-0.001968504,0.010655473,0.006116208,0.003106662,0,0.013703704,-0.004521739,0.011682243
"% Households, 3 Person",PCT_ORG_HH3,0.012075906,0.011594203,0.01037464,-0.019116678,-0.004118051,-0.005791506,0.005316007,0,-0.002645503,-0.013341067,0.004683841,0.0027894
"% Households, 4 Person",PCT_ORG_HH4,-0.012846518,-0.000662252,-0.00209351,-0.031222897,-0.00729927,-0.01266766,-0.005839416,-0.004975124,-0.01839303,-0.021614749,-0.005642633,0.00810537
"% Households, 5 Person",PCT_ORG_HH5,0.015625,-0.012330456,0.009067358,-0.040816327,0.015296367,-0.022488756,-0.013986014,-0.007342144,-0.007075472,-0.047673099,-0.020539153,-0.015837104
"% Households, 6 Person",PCT_ORG_HH6,0.005586592,-0.002415459,0.002967359,0,0.048245614,-0.013333333,0.025974026,0.006622517,0.012903226,-0.032258065,0.007444169,0.013274336
"% Households, 7 or More Person",PCT_ORG_HH7P,-0.027888446,-0.025287356,0.01,-0.025,0.054794521,-0.008264463,0.038461538,0.034129693,0.041666667,0.051454139,0.002008032,0.082474227
"Housing, Units",ORG_HOUSEUNITS,0.021932322,0.011363595,0.016684017,0.014175968,0.023774598,0.011709688,0.024101625,0.014953307,0.006369467,0.029790225,0.007470775,0.008499006
"Housing, Occupied Units",ORG_OCCUNIT,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
"Housing, Vacant Units",ORG_VACUNIT,-0.026211693,-3.84633E-05,-0.023150681,0.050382598,0.011519452,-0.002695918,-0.005908333,0.023406987,0.009745387,0.048809059,0.011616713,-0.000811688
"Housing, Vacant Units For Rent",ORG_VACUNITRNT,0.00245073,-0.025507608,-0.04932455,0.022318708,-0.044882568,-0.024725475,-0.028823912,0.000227132,-0.010221407,0.053266678,0.010168085,-0.018726592
"Housing, Vacant Units Rented, Not Occupied",ORG_VACUNITRNO,-0.052941176,0.054184475,-0.030618494,0.261111111,0.044097996,0.090102708,0.11330875,0.042747565,0.141114983,0.018867925,0,0
"Housing, Vacant Units For Sale",ORG_VACUNITSAL,-0.107101281,-0.036581679,-0.094290142,0.019502354,-0.054663695,-0.05267219,-0.040369009,0.001627919,-0.022617496,0.037165354,0.003203845,-0.007575758
"Housing, Vacant Units Sold, Not Occupied",ORG_VACUNITSNO,-0.01192053,0.153019401,0.173913043,0.224270353,-0.012768976,0.032988676,0.037060302,0.095231028,0.07718643,0.119379845,0.028846154,0.242424242
"Housing, Vacant Units Seasonal",ORG_VACUNITSEA,-0.037641154,0.03316391,-0.003208868,0.089193252,0.034506303,0.069891467,0.024416962,0.038375194,0.062155204,0.019815994,0.025703201,0.018691589
"Housing, Vacant Units For Migrant Workers",ORG_VACUNITMIG,-0.037634409,0.362204724,0.257575758,0,0.013636364,0.101694915,-0.042553191,0.130434783,0.178571429,0.305555556,0,#DIV/0!
"Housing, Vacant Units Vacant Other",ORG_VACUNITOTH,-0.031104489,0.016304248,-0.001914752,0.039203016,0.052958074,0.011921288,-0.015625,0.031123009,0.002327758,0.050626959,0,0.039370079
"% Housing, Occupied Units",PCT_ORG_OCCUNIT,0.003435688,0.000741447,0.002223399,-0.003643591,0.001849711,0.001306762,0.001806205,-0.000766367,-0.000331053,-0.001171334,-0.00021126,0.000532595
"% Housing, Vacant Units",PCT_ORG_VACUNIT,-0.04664723,-0.012522361,-0.037837838,0.034994698,-0.011851852,-0.014687882,-0.028911565,0.008083141,0.003198294,0.018062397,0.003752345,-0.008169935
"% Housing, Vacant Units For Rent",PCT_ORG_VACUNITRNT,-0.020547945,-0.038167939,-0.067708333,0.005633803,-0.066445183,-0.034965035,-0.052631579,-0.016064257,-0.015037594,0.020304569,0,-0.027638191
"% Housing, Vacant Units Rented, Not Occupied",PCT_ORG_VACUNITRNO,-0.1,0,-0.076923077,0.263157895,0,0.058823529,0.066666667,0,0.142857143,0,0,0
"% Housing, Vacant Units For Sale",PCT_ORG_VACUNITSAL,-0.12987013,-0.046875,-0.104477612,0,-0.076923077,-0.069767442,-0.056338028,-0.010526316,-0.033898305,0.009259259,0,-0.015151515
"% Housing, Vacant Units Sold, Not Occupied",PCT_ORG_VACUNITSNO,-0.043478261,0.125,0.181818182,0.2,-0.037037037,0,0,0.076923077,0.068965517,0.090909091,0.047619048,0.25
"% Housing, Vacant Units Seasonal",PCT_ORG_VACUNITSEA,-0.058823529,0.012987013,-0.018292683,0.074074074,0.012145749,0.05952381,0,0.026217228,0.06122449,0,0.021276596,0.018867925
"% Housing, Vacant Units For Migrant Workers",PCT_ORG_VACUNITMIG,-0.166666667,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,0,1,0,#DIV/0!
"% Housing, Vacant Units Vacant Other",PCT_ORG_VACUNITOTH,-0.05,0,-0.020833333,0.023904382,0.029891304,0,-0.042372881,0.014018692,-0.002659574,0.01843318,-0.009174312,0.031746032
"Housing, Units",ORG_HOUSEUNITS1,0.021932322,0.011363595,0.016684017,0.014175968,0.023774598,0.011709688,0.024101625,0.014953307,0.006369467,0.029790225,0.007470775,0.008499006
"Housing, Owner Occupied",ORG_OOCCHH,0.016171686,0.003062642,0.010359075,0.00096745,0.011678678,0.002179795,0.020556553,0.00852165,0.002119876,0.020751839,-0.001918942,-0.007111686
"Housing, Renter Occupied",ORG_ROCCHH,0.03577352,0.020431718,0.028501913,0.025007024,0.049736112,0.031332638,0.034146771,0.019763829,0.014461904,0.040725489,0.022487486,0.017006535
"% Housing, Owner Occupied",PCT_ORG_OOCCHH,-0.005519215,-0.008110478,-0.006284208,-0.012909091,-0.011891694,-0.009518865,-0.003358671,-0.006359649,-0.004194902,-0.008739731,-0.009298394,-0.015609756
"% Housing, Renter Occupied",PCT_ORG_ROCCHH,0.013568521,0.009018241,0.011524823,0.01068316,0.025439698,0.019377569,0.009856153,0.004809794,0.008030726,0.010626703,0.014921171,0.008395375
"Housing, Units",ORG_HOUSEUNITS2,0.021932322,0.011363595,0.016684017,0.014175968,0.023774598,0.011709688,0.024101625,0.014953307,0.006369467,0.029790225,0.007470775,0.008499006
"Housing, Occupied Structure with 1 Unit Detached",ORG_S_1D,0.022289116,0.009776439,0.016927656,0.009439319,0.024393897,0.013083071,0.022019114,0.009084072,0.004948681,0.026157749,0.00373975,0.003985198
"Housing, Occupied Structure with 1 Unit Attached",ORG_S_1A,0.080868229,0.008862742,0.038928498,-0.0145481,0.029232755,0.008899231,0.04805361,0.01677401,0.018867235,-0.009659169,0.013413343,0.013468013
"Housing, Occupied Structure with 2 Units",ORG_S_2,0.023391813,0.032233272,-0.028493177,0.006458558,0.035480218,0.004973786,0.014792809,0.013753566,0.008308303,0.034272472,0.071156773,0.006796556
"Housing, Occupied Structure with 3-4 Units",ORG_S_3_4,0.05117305,0.010941909,0.004369346,0.008737229,0.032807682,0.002922539,0.023637472,0.009811033,-0.011065679,0.071912379,0.011427142,0.049215407
"Housing, Occupied Structure with 5-9 Units",ORG_S_5_9,0.006369727,0.011794091,0.027720705,0.033523607,0.044984741,0.027549598,0.018764066,0.014196213,-0.012557715,0.039759129,0.014226852,0.037477148
"Housing, Occupied Structure with 10-19 Units",ORG_S_10_19,0.075961132,0.004395231,0.006355905,0.01529116,0.004892815,0.001543312,0.028983632,0.016645927,-0.003736811,0.069172598,0.026296365,-0.00505689
"Housing, Occupied Structure with 50+ Units",ORG_S_50P,-0.012460097,0.030908153,0.037763932,0.012447444,0.059584466,0.022863937,0.045436781,0.021311578,0.033322975,-0.011083744,0.002894789,0.015899033
"Housing, Occupied Structure Trailer",ORG_STRAILER,-0.002267574,0.008290721,0.004148568,0.067513612,0.016490452,0.006829757,0.018371444,0.02031154,-0.015929644,0.021210618,-0.000758869,0.083333333
"Housing, Occupied Structure Other",ORG_SOTHER,0.048780488,0.012670257,0.054367201,0,0.077689928,0.026262626,0.061919505,0.066195524,0.067039106,0.029787234,-0.009259259,0
"% Housing, Occupied Structure with 1 Unit Detached",PCT_ORG_S_1D,0.000482393,-0.001479915,0.000204415,-0.004648343,0.000607287,0.001427697,-0.001998668,-0.005780347,-0.001303993,-0.003624901,-0.003651452,-0.004581901
"% Housing, Occupied Structure with 1 Unit Attached",PCT_ORG_S_1A,0.058064516,-0.001367989,0.021528525,-0.029147982,0.004056795,-0.002923977,0.0221843,0.001633987,0.012145749,-0.036585366,0.005628518,0
"% Housing, Occupied Structure with 2 Units",PCT_ORG_S_2,0,0.021551724,-0.042168675,-0.007246377,0.010582011,-0.006980803,-0.009297521,-0.000994036,0.002680965,0.007194245,0.061111111,-0.001823154
"% Housing, Occupied Structure with 3-4 Units",PCT_ORG_S_3_4,0.02960969,0,-0.011337868,-0.005268704,0.009009009,-0.007473842,-0.001013171,-0.005665722,-0.018987342,0.042462845,0.004878049,0.040172166
"% Housing, Occupied Structure with 5-9 Units",PCT_ORG_S_5_9,-0.015822785,0,0.010989011,0.019713262,0.019955654,0.015602837,-0.005494505,0,-0.019543974,0.009090909,0.006818182,0.027573529
"% Housing, Occupied Structure with 10-19 Units",PCT_ORG_S_10_19,0.050991501,-0.00608828,-0.011326861,0,-0.018108652,-0.01010101,0.004376368,0.002114165,-0.012145749,0.03930131,0.016172507,-0.012722646
"% Housing, Occupied Structure with 50+ Units",PCT_ORG_S_50P,-0.031141869,0.019375673,0.020286396,-0.00204918,0.034552846,0.011780105,0.020491803,0.006626506,0.026455026,-0.038860104,-0.005830904,0.007585752
